x	 u	 u_exact
0.601173	0.590816	0.593732
0.602151	0.595555	0.598663
0.603128	0.600348	0.603571
0.604106	0.605398	0.608457
0.605083	0.610412	0.613319
0.606061	0.615120	0.618159
0.607038	0.619760	0.622975
0.608016	0.624650	0.627768
0.608993	0.629612	0.632537
0.609971	0.634291	0.637282
0.610948	0.638810	0.642003
0.611926	0.643545	0.646700
0.612903	0.648424	0.651372
0.613881	0.653056	0.656020
0.614858	0.657472	0.660644
0.615836	0.662069	0.665242
0.616813	0.666848	0.669815
0.617791	0.671410	0.674363
0.618768	0.675727	0.678885
0.619746	0.680204	0.683382
0.620723	0.684878	0.687853
0.621701	0.689346	0.692298
0.622678	0.693562	0.696717
0.623656	0.697935	0.701110
0.624633	0.702504	0.705476
0.625611	0.706856	0.709816
0.626588	0.710966	0.714129
0.627566	0.715252	0.718415
0.628543	0.719713	0.722674
0.629521	0.723927	0.726905
0.630499	0.727932	0.731109
0.631476	0.732148	0.735286
0.632454	0.736491	0.739435
0.633431	0.740547	0.743556
0.634409	0.744456	0.747649
0.635386	0.748613	0.751713
0.636364	0.752818	0.755750
0.637341	0.756703	0.759757
0.638319	0.760538	0.763737
0.639296	0.764639	0.767687
0.640274	0.768672	0.771608
0.641251	0.772389	0.775501
0.642229	0.776182	0.779364
0.643206	0.780207	0.783197
0.644184	0.784033	0.787001
0.645161	0.787610	0.790776
0.646139	0.791388	0.794520
0.647116	0.795289	0.798235
0.648094	0.798885	0.801919
0.649071	0.802381	0.805574
0.650049	0.806144	0.809197
0.651026	0.809849	0.812791
0.652004	0.813235	0.816353
0.652981	0.816717	0.819885
0.653959	0.820413	0.823386
0.654936	0.823859	0.826856
0.655914	0.827113	0.830295
0.656891	0.830617	0.833702
0.657869	0.834137	0.837078
0.658847	0.837326	0.840422
0.659824	0.840560	0.843735
0.660802	0.844031	0.847016
0.661779	0.847273	0.850265
0.662757	0.850304	0.853481
0.663734	0.853582	0.856666
0.664712	0.856874	0.859818
0.665689	0.859833	0.862938
0.666667	0.862860	0.866025
0.667644	0.866106	0.869080
0.668622	0.869089	0.872102
0.669599	0.871908	0.875091
0.670577	0.874993	0.878047
0.671554	0.878015	0.880969
0.672532	0.880721	0.883859
0.673509	0.883582	0.886715
0.674487	0.886585	0.889538
0.675464	0.889264	0.892327
0.676442	0.891905	0.895083
0.677419	0.894806	0.897805
0.678397	0.897498	0.900492
0.679374	0.899972	0.903146
0.680352	0.902700	0.905766
0.681329	0.905396	0.908352
0.682307	0.907768	0.910903
0.683284	0.910293	0.913421
0.684262	0.912950	0.915903
0.685239	0.915272	0.918351
0.686217	0.917598	0.920765
0.687195	0.920163	0.923143
0.688172	0.922463	0.925487
0.689150	0.924618	0.927796
0.690127	0.927047	0.930070
0.691105	0.929326	0.932309
0.692082	0.931345	0.934513
0.693060	0.933612	0.936681
0.694037	0.935854	0.938814
0.695015	0.937771	0.940912
0.695992	0.939864	0.942974
0.696970	0.942046	0.945001
0.697947	0.943883	0.946992
0.698925	0.945807	0.948947
0.699902	0.947905	0.950867
0.700880	0.949674	0.952750
0.701857	0.951438	0.954598
0.702835	0.953434	0.956409
0.703812	0.955138	0.958185
0.704790	0.956755	0.959924
0.705767	0.958634	0.961628
0.706745	0.960270	0.963295
0.707722	0.961752	0.964925
0.708700	0.963508	0.966519
0.709677	0.965070	0.968077
0.710655	0.966426	0.969598
0.711632	0.968057	0.971083
0.712610	0.969536	0.972531
0.713587	0.970773	0.973942
0.714565	0.972279	0.975317
0.715543	0.973667	0.976655
0.716520	0.974790	0.977956
0.717498	0.976174	0.979220
0.718475	0.977462	0.980447
0.719453	0.978473	0.981637
0.720430	0.979740	0.982790
0.721408	0.980922	0.983906
0.722385	0.981822	0.984985
0.723363	0.982977	0.986027
0.724340	0.984046	0.987031
0.725318	0.984835	0.987999
