x	 u	 u_exact
0.507331	0.999014	0.998939
0.508309	0.998722	0.998638
0.509286	0.998393	0.998298
0.510264	0.998025	0.997921
0.511241	0.997620	0.997507
0.512219	0.997177	0.997054
0.513196	0.996697	0.996564
0.514174	0.996179	0.996037
0.515152	0.995624	0.995472
0.516129	0.995031	0.994869
0.517107	0.994400	0.994229
0.518084	0.993732	0.993552
0.519062	0.993027	0.992836
0.520039	0.992284	0.992084
0.521017	0.991503	0.991294
0.521994	0.990685	0.990467
0.522972	0.989830	0.989602
0.523949	0.988938	0.988700
0.524927	0.988008	0.987760
0.525904	0.987041	0.986784
0.526882	0.986036	0.985770
0.527859	0.984995	0.984719
0.528837	0.983916	0.983631
0.529814	0.982800	0.982505
0.530792	0.981647	0.981343
0.531769	0.980457	0.980144
0.532747	0.979230	0.978907
0.533724	0.977967	0.977634
0.534702	0.976666	0.976324
0.535679	0.975328	0.974977
0.536657	0.973954	0.973593
0.537634	0.972543	0.972172
0.538612	0.971095	0.970715
0.539589	0.969610	0.969221
0.540567	0.968089	0.967691
0.541544	0.966532	0.966124
0.542522	0.964938	0.964521
0.543500	0.963307	0.962881
0.544477	0.961641	0.961205
0.545455	0.959938	0.959493
0.546432	0.958198	0.957745
0.547410	0.956423	0.955960
0.548387	0.954612	0.954139
0.549365	0.952764	0.952283
0.550342	0.950881	0.950390
0.551320	0.948961	0.948462
0.552297	0.947006	0.946497
0.553275	0.945016	0.944497
0.554252	0.942989	0.942462
0.555230	0.940927	0.940391
0.556207	0.938830	0.938284
0.557185	0.936697	0.936142
0.558162	0.934528	0.933965
0.559140	0.932325	0.931753
0.560117	0.930086	0.929505
0.561095	0.927812	0.927222
0.562072	0.925504	0.924905
0.563050	0.923160	0.922552
0.564027	0.920781	0.920165
0.565005	0.918368	0.917742
0.565982	0.915920	0.915286
0.566960	0.913438	0.912794
0.567937	0.910921	0.910269
0.568915	0.908370	0.907709
0.569892	0.905784	0.905115
0.570870	0.903164	0.902486
0.571848	0.900511	0.899824
0.572825	0.897823	0.897127
0.573803	0.895101	0.894397
0.574780	0.892346	0.891633
0.575758	0.889557	0.888835
0.576735	0.886734	0.886004
0.577713	0.883878	0.883140
0.578690	0.880989	0.880242
0.579668	0.878066	0.877311
0.580645	0.875110	0.874347
0.581623	0.872122	0.871349
0.582600	0.869100	0.868319
0.583578	0.866046	0.865257
0.584555	0.862959	0.862161
0.585533	0.859839	0.859033
0.586510	0.856687	0.855873
0.587488	0.853502	0.852680
0.588465	0.850286	0.849455
0.589443	0.847037	0.846199
0.590420	0.843756	0.842910
0.591398	0.840444	0.839589
0.592375	0.837100	0.836237
0.593353	0.833724	0.832853
0.594330	0.830317	0.829438
0.595308	0.826878	0.825992
0.596285	0.823409	0.822514
0.597263	0.819908	0.819005
0.598240	0.816376	0.815466
0.599218	0.812814	0.811895
0.600196	0.809220	0.808294
0.601173	0.805597	0.804663
0.602151	0.801943	0.801001
0.603128	0.798258	0.797309
0.604106	0.794544	0.793587
0.605083	0.790799	0.789835
0.606061	0.787025	0.786053
0.607038	0.783221	0.782242
0.608016	0.779388	0.778401
0.608993	0.775525	0.774530
0.609971	0.771633	0.770631
0.610948	0.767711	0.766702
0.611926	0.763761	0.762744
0.612903	0.759782	0.758758
0.613881	0.755775	0.754743
0.614858	0.751738	0.750700
0.615836	0.747674	0.746628
0.616813	0.743581	0.742528
0.617791	0.739460	0.738400
0.618768	0.735312	0.734244
0.619746	0.731135	0.730061
0.620723	0.726931	0.725850
0.621701	0.722700	0.721611
0.622678	0.718441	0.717346
0.623656	0.714155	0.713053
0.624633	0.709842	0.708734
0.625611	0.705503	0.704387
0.626588	0.701137	0.700014
0.627566	0.696744	0.695615
0.628543	0.692325	0.691189
0.629521	0.687880	0.686738
0.630499	0.683409	0.682260
0.631476	0.678913	0.677757
0.632454	0.674390	0.673228
0.633431	0.669843	0.668674
0.634409	0.665270	0.664095
0.635386	0.660671	0.659490
0.636364	0.656048	0.654861
0.637341	0.651401	0.650207
0.638319	0.646728	0.645528
0.639296	0.642031	0.640825
0.640274	0.637310	0.636098
0.641251	0.632565	0.631347
0.642229	0.627796	0.626572
0.643206	0.623004	0.621773
0.644184	0.618188	0.616951
0.645161	0.613348	0.612106
0.646139	0.608486	0.607238
0.647116	0.603600	0.602346
0.648094	0.598692	0.597432
0.649071	0.593761	0.592496
0.650049	0.588808	0.587537
0.651026	0.583833	0.582556
0.652004	0.578835	0.577553
0.652981	0.573816	0.572528
0.653959	0.568775	0.567481
0.654936	0.563712	0.562414
0.655914	0.558629	0.557324
0.656891	0.553524	0.552214
0.657869	0.548398	0.547083
0.658847	0.543252	0.541932
0.659824	0.538085	0.536760
0.660802	0.532898	0.531568
0.661779	0.527691	0.526355
0.662757	0.522464	0.521123
0.663734	0.517217	0.515871
0.664712	0.511951	0.510600
0.665689	0.506665	0.505310
0.666667	0.501360	0.500000
0.667644	0.496036	0.494672
0.668622	0.490694	0.489324
0.669599	0.485333	0.483959
0.670577	0.479954	0.478575
0.671554	0.474557	0.473173
0.672532	0.469141	0.467753
0.673509	0.463709	0.462316
0.674487	0.458258	0.456861
0.675464	0.452790	0.451389
0.676442	0.447306	0.445900
0.677419	0.441804	0.440394
0.678397	0.436286	0.434872
0.679374	0.430751	0.429333
0.680352	0.425200	0.423778
0.681329	0.419633	0.418206
0.682307	0.414050	0.412620
0.683284	0.408451	0.407017
0.684262	0.402838	0.401399
0.685239	0.397208	0.395766
0.686217	0.391564	0.390119
0.687195	0.385905	0.384456
0.688172	0.380232	0.378779
0.689150	0.374544	0.373088
0.690127	0.368842	0.367382
0.691105	0.363127	0.361663
0.692082	0.357397	0.355930
0.693060	0.351654	0.350183
0.694037	0.345898	0.344424
0.695015	0.340128	0.338651
0.695992	0.334346	0.332866
0.696970	0.328552	0.327068
0.697947	0.322744	0.321258
0.698925	0.316925	0.315435
0.699902	0.311094	0.309601
0.700880	0.305251	0.303755
0.701857	0.299396	0.297898
0.702835	0.293530	0.292029
0.703812	0.287654	0.286149
0.704790	0.281766	0.280259
0.705767	0.275867	0.274358
0.706745	0.269959	0.268447
0.707722	0.264040	0.262525
0.708700	0.258111	0.256594
0.709677	0.252172	0.250653
0.710655	0.246224	0.244702
0.711632	0.240266	0.238742
0.712610	0.234300	0.232773
0.713587	0.228325	0.226796
0.714565	0.222341	0.220810
0.715543	0.216348	0.214815
0.716520	0.210348	0.208813
0.717498	0.204339	0.202802
0.718475	0.198323	0.196784
0.719453	0.192299	0.190759
0.720430	0.186269	0.184726
0.721408	0.180231	0.178686
0.722385	0.174186	0.172640
0.723363	0.168135	0.166587
0.724340	0.162077	0.160528
0.725318	0.156013	0.154463
0.726295	0.149944	0.148392
0.727273	0.143868	0.142315
0.728250	0.137788	0.136233
0.729228	0.131702	0.130146
0.730205	0.125611	0.124053
0.731183	0.119515	0.117957
0.732160	0.113415	0.111855
0.733138	0.107311	0.105750
0.734115	0.101202	0.099641
0.735093	0.095090	0.093527
0.736070	0.088974	0.087411
0.737048	0.082854	0.081291
0.738025	0.076732	0.075168
0.739003	0.070606	0.069042
0.739980	0.064476	0.062913
0.740958	0.058343	0.056782
0.741935	0.052205	0.050649
0.742913	0.046061	0.044514
0.743891	0.039906	0.038378
0.744868	0.033736	0.032239
0.745846	0.027542	0.026100
0.746823	0.021314	0.019960
0.747801	0.015036	0.013819
0.748778	0.008691	0.007677
0.749756	0.002263	0.001535
0.750733	-0.004260	-0.004606
0.751711	-0.010876	-0.010748
0.752688	-0.017564	-0.016889
0.753666	-0.024279	-0.023030
0.754643	-0.030947	-0.029170
0.755621	-0.037482	-0.035309
0.756598	-0.043802	-0.041446
0.757576	-0.049864	-0.047582
0.758553	-0.055690	-0.053716
0.759531	-0.061382	-0.059848
0.760508	-0.067102	-0.065978
0.761486	-0.073013	-0.072105
0.762463	-0.079211	-0.078229
0.763441	-0.085658	-0.084351
0.764418	-0.092185	-0.090469
0.765396	-0.098565	-0.096584
0.766373	-0.104643	-0.102696
0.767351	-0.110442	-0.108803
0.768328	-0.116169	-0.114907
0.769306	-0.122088	-0.121006
0.770283	-0.128331	-0.127100
0.771261	-0.134781	-0.133190
0.772239	-0.141149	-0.139274
0.773216	-0.147197	-0.145354
0.774194	-0.152956	-0.151428
0.775171	-0.158715	-0.157496
0.776149	-0.164766	-0.163558
0.777126	-0.171119	-0.169614
0.778104	-0.177474	-0.175664
0.779081	-0.183516	-0.181707
0.780059	-0.189248	-0.187743
0.781036	-0.195011	-0.193772
0.782014	-0.201109	-0.199794
0.782991	-0.207453	-0.205809
0.783969	-0.213647	-0.211815
0.784946	-0.219464	-0.217814
0.785924	-0.225138	-0.223804
0.786901	-0.231081	-0.229786
0.787879	-0.237345	-0.235759
0.788856	-0.243538	-0.241723
0.789834	-0.249347	-0.247678
0.790811	-0.254984	-0.253624
0.791789	-0.260898	-0.259561
0.792766	-0.267123	-0.265487
0.793744	-0.273213	-0.271404
0.794721	-0.278908	-0.277310
0.795699	-0.284542	-0.283206
0.796676	-0.290535	-0.289091
0.797654	-0.296714	-0.294965
0.798631	-0.302583	-0.300828
0.799609	-0.308139	-0.306680
0.800587	-0.313889	-0.312520
0.801564	-0.319991	-0.318348
0.802542	-0.325971	-0.324164
0.803519	-0.331544	-0.329968
0.804497	-0.337134	-0.335760
0.805474	-0.343114	-0.341539
0.806452	-0.349115	-0.347305
0.807429	-0.354703	-0.353058
0.808407	-0.360200	-0.358798
0.809384	-0.366080	-0.364524
0.810362	-0.372047	-0.370237
0.811339	-0.377605	-0.375935
0.812317	-0.383044	-0.381619
0.813294	-0.388868	-0.387289
0.814272	-0.394766	-0.392944
0.815249	-0.400243	-0.398585
0.816227	-0.405651	-0.404210
0.817204	-0.411458	-0.409820
0.818182	-0.417249	-0.415415
0.819159	-0.422608	-0.420994
0.820137	-0.428028	-0.426557
0.821114	-0.433832	-0.432104
0.822092	-0.439454	-0.437635
0.823069	-0.444698	-0.443149
0.824047	-0.450190	-0.448647
0.825024	-0.455950	-0.454127
0.826002	-0.461340	-0.459591
0.826979	-0.466544	-0.465037
0.827957	-0.472145	-0.470465
0.828935	-0.477740	-0.475876
0.829912	-0.482898	-0.481269
0.830890	-0.488201	-0.486644
0.831867	-0.493834	-0.492000
0.832845	-0.499125	-0.497338
0.833822	-0.504204	-0.502657
0.834800	-0.509684	-0.507957
0.835777	-0.515121	-0.513238
0.836755	-0.520132	-0.518500
0.837732	-0.525373	-0.523742
0.838710	-0.530858	-0.528964
0.839687	-0.535916	-0.534166
0.840665	-0.540940	-0.539348
0.841642	-0.546360	-0.544510
0.842620	-0.551502	-0.549652
0.843597	-0.556380	-0.554772
0.844575	-0.561661	-0.559872
0.845552	-0.566865	-0.564950
0.846530	-0.571665	-0.570007
0.847507	-0.576784	-0.575043
0.848485	-0.582004	-0.580057
0.849462	-0.586768	-0.585049
0.850440	-0.591731	-0.590019
0.851417	-0.596927	-0.594967
0.852395	-0.601669	-0.599892
0.853372	-0.606498	-0.604795
0.854350	-0.611640	-0.609675
0.855327	-0.616355	-0.614532
0.856305	-0.621073	-0.619365
0.857283	-0.626147	-0.624176
0.858260	-0.630821	-0.628962
0.859238	-0.635447	-0.633725
